661.778, 0, 0, 0, 0, 0, 0, 0
811.778, 1, 0, 0, 0, 150, 0, 0
931.778, 0, 0, 1, 0, 0, 0, 120
1533.45, 0, 0, 0, 1, 0, 0, 0
1683.45, 1, 0, 0, 1, 150, 0, 0
1772.78, 0, 0, 1, 1, 0, 0, 89.3328
2103.45, 0, 0, 1, 0, 0, 0, 330.667
2249.25, 0, 0, 0, 1, 0, 0, 0
2399.25, 1, 0, 0, 1, 150, 0, 0
2765.45, 0, 0, 1, 1, 0, 0, 366.197
2819.25, 0, 0, 1, 0, 0, 0, 53.8032
2859.99, 0, 0, 0, 1, 0, 0, 0
3009.99, 1, 0, 0, 1, 150, 0, 0
3423.25, 0, 0, 1, 1, 0, 0, 413.259
3429.99, 0, 0, 1, 0, 0, 0, 6.74121
3806.04, 0, 0, 0, 1, 0, 0, 0
3956.04, 1, 0, 0, 1, 150, 0, 0
4090.73, 0, 0, 1, 1, 0, 0, 134.687
4181.99, 1, 0, 1, 1, 91.2593, 0, 91.2593
4240.73, 1, 0, 1, 0, 58.7407, 0, 58.7407
4376.04, 0, 0, 2, 0, 0, 0, 270.627
4446.82, 0, 0, 1, 1, 0, 0, 70.7715
4578.63, 1, 0, 1, 1, 131.811, 0, 131.811
4596.82, 2, 0, 1, 1, 36.3789, 0, 18.1895
4743.1, 1, 0, 2, 1, 146.288, 0, 292.576
4746.82, 2, 0, 2, 1, 7.42383, 0, 7.42383
4796.04, 1, 0, 3, 1, 49.2285, 0, 147.686
4870.52, 1, 0, 2, 2, 74.4756, 0, 148.951
4896.82, 2, 0, 2, 2, 52.5918, 0, 52.5918
4929.47, 1, 0, 3, 2, 32.6514, 0, 97.9541
5046.82, 2, 0, 3, 2, 234.697, 0, 352.046
5115.04, 1, 0, 4, 2, 68.2285, 0, 272.914
5196.82, 1, 0, 4, 1, 81.7715, 0, 327.086
5216.04, 1, 0, 4, 1, 19.2285, 0, 76.9141
5346.82, 1, 0, 3, 2, 130.771, 0, 392.314
5348.83, 0, 0, 4, 2, 0, 0, 8.07813
5361.35, 1, 0, 4, 2, 12.5103, 0, 50.041
5498.83, 2, 0, 4, 2, 274.979, 0, 549.959
5636.04, 2, 0, 4, 2, 274.418, 0, 548.836
5648.83, 2, 0, 3, 3, 25.582, 0, 38.373
5719.8, 1, 0, 4, 3, 70.9683, 0, 283.873
5789.04, 2, 0, 4, 3, 138.481, 0, 276.963
5798.83, 2, 0, 4, 2, 19.582, 0, 39.1641
5882.08, 2, 0, 4, 2, 166.497, 0, 332.994
5927.88, 3, 0, 4, 2, 137.377, 0, 183.17
5948.83, 4, 0, 4, 2, 83.8359, 0, 83.8359
